# a
načrtovan, prid
nadzorovan, prid
nametan, prid
napeljan, prid
naphan, prid
naravnan, prid
nasejan, prid
nasmejan, prid
naspan, prid
nastlan, prid
negovan, prid
nehuman, prid
neimenovan, prid
neomadeževan, prid
neotesan, prid
neprestan, prid
nepričakovan, prid
neslan, prid
občudovan, prid
obdan, prid
obiskan, prid
objokovan, prid
oblikovan, prid
obran, sam
obrekovan, prid
obsijan, prid
obstreljevan, prid
obvarovan, prid
ocean, sam
odbran, prid
oddan, prid
odigran, prid
odkopan, prid
odlikovan, prid
odposlan, prid
ogoljufan, prid
okopan, prid
okovan, prid
okrancljan, prid
omalovaževan, prid
omehčan, prid
opazovan, prid
opisovan, prid
opran, prid
organ, sam
orkan, sam
oskrbovan, prid
osedlan, prid
osnovan, prid
oškodovan, prid
ožgan, prid
pajčolan, sam
pan, sam
parmezan, sam
partizan, sam
pelikan, sam
pesjan, sam
plan, sam
piroman, sam
počečkan, prid
počesan, prid
podedovan, prid
podivjan, prid
podkovan, prid
podžgan, prid
pogan, sam
poklan, prid
pokončan, prid
pokopan, prid
pokozlan, prid
pomečkan, prid
pomendran, prid
popackan, prid
poravnan, prid
poscan, prid
porcelan, sam
posejan, prid
poslan, prid
postan, prid
poškodovan, prid
poteptan, prid
poveličevan, prid
pozvan, prid
požgan, prid
predan, prid
preglasovan, prid
pregnan, prid
preoran, prid
prepeljan, prid
prepoznan, prid
preprodan, prid
preran, prid
prerokovan, prid
presejan, prid
pretkan, prid
pretentan, prid
pričakovan, prid
pridržan, prid
prignan, prid
pristan, sam
priznan, prid
prižgan, prid
profan, prid
prostran, prid
prsobran, sam
puran, sam
raketoplan, sam
ramazan, sam
ran, prid
ravan, sam
razcapan, prid
razdejan, prid
razigran, prid
razklan, prid
razmetan, prid
razposlan, prid
Rimljan, sam
roman, sam
rokobran, sam
samarijan, sam
samostan, sam
samozvan, prid
sežgan, prid
simultan, prid
skovan, prid
slan, prid
sopran, sam
spontan, prid
spoštovan, prid
stan, sam
stkan, prid
stran, sam
svečan, prid
svetovljan, sam
šaman, sam
šarlatan, sam
tiran, sam
tjavdan, pris
tlakovan, prid
točkovan, prid
ugnan, prid
uležan, prid
uran, sam
urban, prid
usran, prid
varovan, prid
vdan, prid
vegan, sam
velikan, sam
veteran, sam
vetrobran, sam
vklesan, prid
vkopan, prid
volan, sam
vran, sam
vsakdan, sam
vstran, pris
vulkan, sam
vzdrževan, prid
vzravnan, prid
vzvalovan, prid
zadržan, prid
zagnan, prid
